id	Qald question	QueGG question	lexical entry	sparql	answer								
616	list some companies founded by Jim Harris.	What are the companies founded by Jim Harris.	founded by	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Jim_Harris_(entrepreneur)> } 	[]								
638	Who founded the Not on our Watch NGO?	Who founded the Not on our Watch NGO?	founded	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Not_on_Our_Watch_(organization)> <http://dbpedia.org/ontology/foundedBy> ?uri } 	[]								
663	Tirana is the largest city of which country?	Tirana is the largest city of which country?	largest city of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Tirana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>}	[]								
698	How many fictional characters were humans?	How many fictional characters were humans?	fictional characters of	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/species> <http://dbpedia.org/resource/Human>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>}	[]								
699	Where was James H. Fields buried ?	Where was James H. Fields buried ?	buried	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/James_H._Fields> <http://dbpedia.org/property/placeofburial> ?uri } 	[]								
723	Who is the leader of Hackweiser ?	Who is the leader of Hackweiser ?	leader of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hackweiser> <http://dbpedia.org/property/leaderName> ?uri } 	[]								
732	Which technological products were manufactured by Foxconn?	Which technological products were manufactured by Foxconn?	manufactured by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/manufacturer> <http://dbpedia.org/resource/Foxconn>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>}	[]								
762	What cities are nearer to Fuountain Lake Farm?	What cities are nearer to Fuountain Lake Farm?	nearer to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fountain_Lake_Farm> <http://dbpedia.org/property/nearestCity> ?uri } 	[]								
797	What are the current music bands of Chester Bennington?	What are the current music bands of Chester Bennington?	current music bands of 	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentMembers> <http://dbpedia.org/resource/Chester_Bennington> } 	[]								
804	On what subjects was Broca's Brain written?	On what subjects was Broca's Brain written?	written	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Broca's_Brain> <http://dbpedia.org/property/subject> ?uri } 	[]								
825	What river originates in Kingston Ontario?	What river originates in Kingston Ontario?	originate in 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/sourceLocation> <http://dbpedia.org/resource/Kingston,_Ontario>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}	[]								
827	What is the television show whose executive producer is Douglas Netter?	What is the television show whose executive producer is Douglas Netter?	executive producer of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/executiveProducer> <http://dbpedia.org/resource/Douglas_Netter>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}	[]								
848	Where did Whitney Wistert debut?	Where did Whitney Wistert debut?	debut?	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Whitey_Wistert> <http://dbpedia.org/property/debutteam> ?uri } 	[]								
851	What novels are belong to the genre of Utopian and dystopian fiction?	What novels are belong to the genre of Utopian and dystopian fiction?	belong to	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Utopian_and_dystopian_fiction> } 	[]								
853	What is the programme format of WWTR ?	What is the programme format of WWTR ?	programme format of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WWTR> <http://dbpedia.org/ontology/programmeFormat> ?uri } 	[]								
860	Name the office of Richard Coke ?	Name the office of Richard Coke ?	office of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Richard_Coke> <http://dbpedia.org/property/office> ?uri } 	[]								
875	Who are the characters of Batman Live?	Who are the characters of Batman Live?	characters of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri } 	[]								
899	To which political party does Virendra Kataria belongs ?	To which political party does Virendra Kataria belongs ?	belongs to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Virendra_Kataria> <http://dbpedia.org/property/party> ?uri } 	[]								
901	Which are the countires where Pioneer Corporation has flourished?	Which are the countires where Pioneer Corporation has flourished?	flourished	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pioneer_Corporation> <http://dbpedia.org/property/country> ?uri } 	[]								
924	Who all are known to play the Gibson Guitar Corporation?	Who all are known to play the Gibson Guitar Corporation?	known to play	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Guitar_Corporation> } 	[]								
936	What is the university whose campus is Mount Moosilauke?	What is the university whose campus is Mount Moosilauke?	campus	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Mount_Moosilauke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/University>}	[]								
953	What is the appliance which uses the central processing unit manufactured by Marvell Technology Group?	What is the appliance which uses the central processing unit manufactured by Marvell Technology Group?	central processing unit of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/cpu> <http://dbpedia.org/resource/Marvell_Technology_Group>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>}	[]								
956	How many people used to play in the youthclub of FC Barcelona?	How many people used to play in the youthclub of FC Barcelona?	youthclub of 	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/youthclubs> <http://dbpedia.org/resource/FC_Barcelona>  . }	[]								
991	What are some apes?	What are some apes?	 apes	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }	[]								
995	Where is the headquarters of Metro Transit (Minnesota) ?	Where is the headquarters of Metro Transit (Minnesota) ?	headquarters of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Metro_Transit_(Minnesota)> <http://dbpedia.org/property/headquarters> ?uri } 	[]								
1002	Who are the current members of Insects vs Robots?	Who are the current members of Insects vs Robots?	current members of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Insects_vs_Robots> <http://dbpedia.org/property/currentMembers> ?uri } 	[]								
1012	What magazine companies are of form Limited liability company?	What magazine companies are of form Limited liability company?	of form	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/company> <http://dbpedia.org/resource/Limited_liability_company>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>}	[]								
1021	What rivers originate from Australian Alps?	What rivers originate from Australian Alps?	originate from	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/sourcePlace> <http://dbpedia.org/resource/Australian_Alps>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}	[]								
1059	What are the track and field events of Jamiatu Muslim Mindanao?	What are the track and field events of Jamiatu Muslim Mindanao?	track and field events 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jamiatu_Muslim_Mindanao> <http://dbpedia.org/property/athletics> ?uri } 	[]								
1065	Which is the university of Vanderbilt Commodores ?	Which is the university of Vanderbilt Commodores ?	university of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vanderbilt_Commodores> <http://dbpedia.org/ontology/university> ?uri } 	[]								
1139	Which president of United States had vice president as John Adams?	Which president of United States had vice president as John Adams?	president of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/vicePresident> <http://dbpedia.org/resource/John_Adams>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}	[]								
1141	Where was the successor of Hank Brown born?	Where was the successor of Hank Brown born?	successor of	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hank_Brown> <http://dbpedia.org/property/successor> ?x . ?x <http://dbpedia.org/ontology/birthPlace> ?uri  . }	[]								
1145	Name the partners of Kelly Brook?	Name the partners of Kelly Brook?	partners of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kelly_Brook> <http://dbpedia.org/ontology/partner> ?uri } 	[]								
1150	Where does John A Danaher III work?	Where does John A Danaher III work?	work	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_A._Danaher_III> <http://dbpedia.org/property/office> ?uri } 	[]								
1154	Who is the person whose home town is Fairmount, Indiana?	Who is the person whose home town is Fairmount, Indiana?	home town 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Fairmount,_Indiana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}	[]								
1203	Name the rivers who originate from Essex?	Name the rivers who originate from Essex?	originate from	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/mouthPlace> <http://dbpedia.org/resource/Essex>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}	[]								
1214	Which bacteria's taxonomic class is Bacilli?	Which bacteria's taxonomic class is Bacilli?	bacteria class of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/class> <http://dbpedia.org/resource/Bacilli>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>}	[]								
1243	Where did the 2015 MLS All-Star Game take place?	Where did the 2015 MLS All-Star Game take place?	take place	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2015_MLS_All-Star_Game> <http://dbpedia.org/property/city> ?uri } 	[]								
1248	Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?	Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?	directors of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lennon_Legend:_The_Very_Best_of_John_Lennon_(DVD)> <http://dbpedia.org/ontology/director> ?uri } 	[]								
1256	Who is the owner of the South end ?	Who is the owner of the South end ?	owner of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_South_End> <http://dbpedia.org/property/owners> ?uri } 	[]								
1282	Count the affiliations of International Union of Anarchists?	Count the affiliations of International Union of Anarchists?	affiliations of International Union of 	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/International_Union_of_Anarchists> <http://dbpedia.org/property/affiliation> ?uri  . }	[]								
1331	Alexander Magleby, a rugby player is alma mater to which university?	Alexander Magleby, a rugby player is alma mater to which university?	alma mater to 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alexander_Magleby> <http://dbpedia.org/property/university> ?uri } 	[]								
1348	Name some basketball players who  have played for chicago bulls?	Name some basketball players who  have played for chicago bulls?	played for 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer>}	[]								
1384	In which city wasThe Triple Door (The Courage album)  performed live?	In which city wasThe Triple Door (The Courage album)  performed live?	performed in	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_at_The_Triple_Door_(The_Courage_album)> <http://dbpedia.org/property/recorded> ?uri } 	[]								
1409	What are the television shows whose starting music is composed by Ron Grainer?	What are the television shows whose starting music is composed by Ron Grainer?	composed by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/themeMusicComposer> <http://dbpedia.org/resource/Ron_Grainer>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}	[]								
1528	Which models were featured in Playboy Playmates 1954?	Which models were featured in Playboy Playmates 1954?	featured in	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/succeeded> <http://dbpedia.org/resource/List_of_Playboy_Playmates_of_1954>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PlayboyPlaymate>}	[]								
1531	What is the baseball team whose club manager is Chip Hale?	What is the baseball team whose club manager is Chip Hale?	manager	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/manager> <http://dbpedia.org/resource/Chip_Hale>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BaseballTeam>}	[]								
1570	What is the nationality of Aishath Saffa ?	What is the nationality of Aishath Saffa ?	nationality of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Aishath_Saffa> <http://dbpedia.org/property/nationality> ?uri } 	[]								
1573	What is the currency of Kerguelen Islands ?	What is the currency of Kerguelen Islands ?	currency of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kerguelen_Islands> <http://dbpedia.org/ontology/currency> ?uri } 	[]								
1631	What is the largest city of Pulau Ubin ?	What is the largest city of Pulau Ubin ?	largest city of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pulau_Ubin> <http://dbpedia.org/ontology/largestCity> ?uri } 	[]								
1646	Who was the United States president who also served as a governor of Indiana Territory?	Who was the United States president who also served as a governor of Indiana Territory?	president who also served as a governor of	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Indiana_Territory> } 	[]								
1664	Name the alma mater of Ernest de Saisset ?	Name the alma mater of Ernest de Saisset ?	alma mater of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ernest_de_Saisset> <http://dbpedia.org/ontology/almaMater> ?uri } 	[]								
1680	What stadium's operator is Stan Kroenke	What stadium's operator is Stan Kroenke	operator of stadium	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/Stan_Kroenke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium>}	[]								
1685	Name the resting place of Fazlur Rahman Khan ?	Name the resting place of Fazlur Rahman Khan ?	resting place of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fazlur_Rahman_Khan> <http://dbpedia.org/ontology/restingPlace> ?uri } 	[]								
1693	What is the district of Methodist Central Hall Westminster ?	What is the district of Methodist Central Hall Westminster ?	district of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Methodist_Central_Hall_Westminster> <http://dbpedia.org/ontology/district> ?uri } 	[]								
1733	What is the government type of Ancient Rome ?	What is the government type of Ancient Rome ?	the government type of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ancient_Rome> <http://dbpedia.org/ontology/governmentType> ?uri } 	[]								
1734	Who are the animator of The Skeleton Dance?	Who are the animator of The Skeleton Dance?	the animator of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Skeleton_Dance> <http://dbpedia.org/ontology/animator> ?uri } 	[]								
1753	What are the movies whose screenplay is done by Eric Roth?	What are the movies whose screenplay is done by Eric Roth?	screenplay	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/screenplay> <http://dbpedia.org/resource/Eric_Roth>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
1757	What cities are near to Nihoa which is also known as Bird Island ?	What cities are near to Nihoa which is also known as Bird Island ?	near to 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nihoa> <http://dbpedia.org/property/nearestCity> ?uri } 	[]								
1792	Who is the partner of Rob Patterson?	Who is the partner of Rob Patterson?	partner of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Rob_Patterson>  . }	[]								
1794	Name the parent company of  Ford Air Transport Service ?	Name the parent company of  Ford Air Transport Service ?	parent company of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_Air_Transport_Service> <http://dbpedia.org/ontology/parentCompany> ?uri } 	[]								
1802	who developed google videos?	who developed google videos?	developed	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Google_Videos> <http://dbpedia.org/property/developer> ?uri } 	[]								
1838	Which driver had the pole position in 1994 Spanish Grand Prix ?	Which driver had the pole position in 1994 Spanish Grand Prix ?	pole position in 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri } 	[]								
1843	What is the automobile platform of Chiva bus ?	What is the automobile platform of Chiva bus ?	automobile platform of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chiva_bus> <http://dbpedia.org/ontology/automobilePlatform> ?uri } 	[]								
1865	Who was the coach of marquette Golden Eagles men's basketball team-2012,13 season ?	Who was the coach of marquette Golden Eagles men's basketball team-2012,13 season ?	coach of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2012–13_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/ontology/coach> ?uri } 	[]								
1899	Who is the relative of Jim Farley (businessman) ?	Who is the relative of Jim Farley (businessman) ?	relative of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jim_Farley_(businessman)> <http://dbpedia.org/property/relatives> ?uri } 	[]								
1906	Who is the narrator of The Price of Beauty ?	Who is the narrator of The Price of Beauty ?	narrator of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Price_of_Beauty> <http://dbpedia.org/ontology/narrator> ?uri } 	[]								
1917	List few Swedish language movies ?	List few Swedish language movies ?	Swedish language movies 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/language> <http://dbpedia.org/resource/Swedish_language>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
1944	What are some orthonychidae birds?	What are some orthonychidae birds?	orthonychidae birds?	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Orthonychidae>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bird>}	[]								
1958	What is the television show whose related with  Doctor Who Confidential?	What is the television show whose related with  Doctor Who Confidential?	related with	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Doctor_Who_Confidential>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}	[]								
1975	Name the office holder whose constituency is Haight-Ashbury?	Name the office holder whose constituency is Haight-Ashbury?	constituency	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/constituency> <http://dbpedia.org/resource/Haight-Ashbury>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}	[]								
1982	list the founders of Bream Bay ?	list the founders of Bream Bay ?	founders of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bream_Bay> <http://dbpedia.org/property/founder> ?uri } 	[]								
1984	List the companies operating in Australia?	List the companies operating in Australia?	operating in	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/regionServed> <http://dbpedia.org/resource/Australia> } 	[]								
