QALD id,match status,QALD question,QueGG question,TP,FP,FN,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
31,0,Do Prince Harry and Prince William have the same parents?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",,0,1,1,0,0,0
32,0.821428571428571,Who played Agent Smith in Matrix?,"""Who played Agent Smith?""",2,0,0,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer>  ?o .    

}",2,0,0,1,1,1
33,1,How many languages are spoken in Turkmenistan?,"""How many languages are spoken in Turkmenistan?""",1,0,0,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    

{

    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language>  ?objOfProp .    

}",1,0,0,1,1,1
34,0.708333333333333,In which films did Julia Roberts as well as Richard Gere play?,"""which film did Julia Roberts play?""",39,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/starring>  <http://dbpedia.org/resource/Julia_Roberts> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    

}",39,0,0,1,1,1
35,0.945945945945946,In which country does the Ganges start?,"""in which country does Ganges start?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation>  ?o .    

}",0,1,1,0,0,0
38,0.9,Where was Bach born?,"""Where was Cher born?"" (sentence did not match)",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o .    

}",0,1,1,0,0,0
42,0.759493670886076,What is the location of the Houses of Parliament?,"""What is the location of Spain?"" (similarity does not match)",0,1,3,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Spain> <http://dbpedia.org/ontology/location>  ?o .    

}",0,1,3,0,0,0
45,0.785714285714286,What was the last movie with Alec Guinness?,"""What was the death date of Alec Guinness?"" (similarity mismatch )",0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ,"select  ?o    

{

    <http://dbpedia.org/resource/Alec_Guinness> <http://dbpedia.org/ontology/deathDate>  ?o .    

}",0,1,1,0,0,0
51,0.767857142857143,Give me all actors starring in movies directed by William Shatner.,"""Give me all films directed by William Shatner?""",0,4,18,SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/William_Shatner> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    

}",0,4,18,0,0,0
53,0,Give me all professional skateboarders from Sweden.,,0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}",,0,1,2,0,0,0
55,0,Does Neymar play for Real Madrid?,,0,1,1,ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . },,0,1,1,0,0,0
57,0.712871287128713,How many companies were founded in the same year as Google?,"""How many Companies are produced by Google?""",0,1,1,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } ,"select  (COUNT(DISTINCT ?subjOfProp) as ?c) WHERE    

{

   ?subjOfProp <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Google> .    

}",0,1,1,0,0,0
58,0.702127659574468,In which UK city are the headquarters of the MI6?,"""in which city did the creators of Cher? Live?"" (mismatch sentences)",0,1,3,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}","SELECT DISTINCT ?objOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/residence> ?objOfProp .   <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/creator> ?subjOfProp .

}",0,1,3,0,0,0
61,0.746268656716418,When did the Ming dynasty dissolve?,"""How often did Ming dynasty live?"" (why did not match)",0,1,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE {  
        res:Ming_dynasty dbo:dissolutionDate ?date .
}","select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    

{

    <http://dbpedia.org/resource/Ming_dynasty> <http://dbpedia.org/ontology/ethnicGroup>  ?objOfProp .    

}",0,1,1,0,0,0
62,0,List all episodes of the first season of the HBO television series The Sopranos!,,0,1,86,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
69,0,List all episodes of the first season of the HBO television series The Sopranos.,,0,1,86,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        ?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
71,0.786885245901639,Who played Gus Fring in Breaking Bad?,"""Who played Breaking Bad?"" (qald question not match sparql)",0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Breaking_Bad> <http://dbpedia.org/ontology/portrayer>  ?o .    

}",0,1,1,0,0,0
73,0,In which ancient empire could you pay with cocoa beans?,,0,1,1,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . },,0,1,1,0,0,0
79,0,How many Aldi stores are there?,,0,1,1,SELECT DISTINCT ?number WHERE {  <http://dbpedia.org/resource/Aldi> <http://dbpedia.org/ontology/numberOfLocations> ?number . } ,,0,1,1,0,0,0
84,0,Which of Tim Burton's films had the highest budget?,does not match,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbo:director res:Tim_Burton .
        ?uri dbo:budget ?b .
}
ORDER BY ?b
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
86,0.8,Who was called Rodzilla?,"""Who was called  Bird?"" (add entity for qld 7)",0,1,1,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri dbp:nickname ""Rodzilla""@en .
}","select  ?s    

{

   ?s <http://dbpedia.org/property/nickname>  'Bird'@en .    

}",0,1,1,0,0,0
89,0.716981132075472,Which movies starring Mickey Rourke were directed by Guy Ritchie?,"""which films were directed by Guy Ritchie?"" (why too much match)",9,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Mickey_Rourke> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/Guy_Ritchie> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    

}",9,0,0,1,1,1
90,0.736842105263158,When did Dracula's creator die?,"""When did Bruce Carver die?"" (did not match)",0,1,1,SELECT DISTINCT ?date WHERE {  <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/creator> ?x .  ?x <http://dbpedia.org/ontology/deathDate> ?date . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Bruce_Carver> <http://dbpedia.org/ontology/deathDate>  ?o .    

}",0,1,1,0,0,0
91,0.869565217391304,Which country does the creator of Miffy come from?,"""What does the creator of Miffy? come from?"" (wrong questions,(check why not))",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Miffy dbo:creator ?x .
	?x dbo:nationality ?uri .
}","SELECT DISTINCT ?subjOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/nationality> ?objOfProp .   <http://dbpedia.org/resource/Miffy> <http://dbpedia.org/ontology/creator> ?objOfProp .

}",0,1,1,0,0,0
94,0.757281553398058,How many companies were founded by the founder of Facebook?,"""How many Companies are produced by Facebook?""",0,1,1,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri .  ?uri <http://dbpedia.org/ontology/foundedBy> ?uri . } ,"select  (COUNT(DISTINCT ?subjOfProp) as ?c) WHERE    

{

   ?subjOfProp <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Facebook> .    

}",0,1,1,0,0,0
95,0,Give me all Canadian Grunge record labels.,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:RecordLabel .
        ?uri dbo:genre res:Grunge .
        ?uri dbo:country res:Canada .
}",,0,1,1,0,0,0
96,0.790697674418605,How many children did Benjamin Franklin have?,"""show me all children of Benjamin Franklin"" (count questions)",0,3,1,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child>  ?o .    

}",0,3,1,0,0,0
102,0.8,List all games by GMT.,"""List all the games by MetaTV"" (GMT does not match)",0,1,7,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {	
        ?uri dbo:publisher res:GMT_Games .
}","select  ?s    

{

   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/MetaTV> .    

}",0,1,7,0,0,0
105,0,Which Indian company has the most employees?,,0,1,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/India> . ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
106,0.745098039215686,What color expresses loyalty?,"""What expresses Wealth?"" (check matches)",0,2,1,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/connotation> <http://dbpedia.org/resource/Loyalty> . },"select  ?s    

{

   ?s <http://dbpedia.org/ontology/connotation>  <http://dbpedia.org/resource/Wealth> .    

}",0,2,1,0,0,0
107,0,Which city has the most inhabitants?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
         ?uri rdf:type dbo:City . 
         ?uri dbo:populationTotal ?pop . 
}
ORDER BY DESC(?pop)
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
112,0.953846153846154,Who is the president of Eritrea?,"""What is the president of Eritrea?"" ",0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?uri . <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leaderTitle> 'President'@en . }  ,"select  ?o    

{

    <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/office>  ?o .    

}",0,1,1,0,0,0
114,0.931034482758621,When was the Titanic completed?,"""When was Titanic completed?"" (sparql does not match)",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date
WHERE { 
        res:RMS_Titanic dbo:completionDate ?date . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Titanic> <http://dbpedia.org/ontology/completionDate>  ?o .    

}",0,1,1,0,0,0
115,0.72289156626506,How many pages does War and Peace have?,"""which languages does War and Peace write in?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?n
WHERE {
        res:War_and_Peace dbo:numberOfPages ?n .
}","select  ?o    

{

    <http://dbpedia.org/resource/War_and_Peace> <http://dbpedia.org/ontology/programmingLanguage>  ?o .    

}",0,1,1,0,0,0
116,0.795918367346939,Who is the youngest player in the Premier League?,"""Who is the youngest DartsPlayer in the The Tiger?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbo:team ?x . 
        ?x dbo:league res:Premier_League . 
        ?uri dbo:birthDate ?y . 
} 
ORDER BY DESC(?y) 
OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/DartsPlayer> . ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?num . 

} ORDER BY DESC(?num) LIMIT 1",1,0,0,1,1,1
117,1,What is the highest mountain in Italy?,"""What is the highest mountain in Italy?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
        ?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Italy .
        ?uri dbo:elevation ?num .
}
ORDER BY DESC(?num)
OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Italy> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
120,0,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,,0,1,22,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE {
        res:Lufthansa dbo:subsidiary ?uri .
        ?uri dbo:targetAirport res:Dortmund_Airport .
        ?uri dbo:targetAirport res:Berlin_Tegel_Airport .
}",,0,1,22,0,0,0
124,0,For which label did Elvis record his first album?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?x rdf:type dbo:Album .
        ?x dbo:artist res:Elvis_Presley .
        ?x dbo:releaseDate ?y .
        ?x dbo:recordLabel ?uri .
}
ORDER BY ASC(?y) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
129,0.816901408450704,Who is the king of the Netherlands?,"""Who is the residence of Netherlands?"" (similarity problem)",0,1,2,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?uri . ?uri a <http://dbpedia.org/ontology/Royalty> . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/residence>  ?o .    

}",0,1,2,0,0,0
132,0,Give me a list of all critically endangered birds.,,0,1,1,SELECT DISTINCT ?uri ?p WHERE { ?uri a <http://dbpedia.org/ontology/Bird> . { ?uri <http://dbpedia.org/ontology/conservationStatus> 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } UNION { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } },,0,1,1,0,0,0
133,0,How many inhabitants does the largest city in Canada have?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
        res:Canada dbo:largestCity ?city . 
        ?city dbo:populationTotal ?num .
}",,0,1,1,0,0,0
135,0.705882352941176,Which book has the most pages?,"""which book was published by GMT Games?""",0,7,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Book . 
        ?uri dbo:numberOfPages ?n .
}
ORDER BY DESC(?n)
OFFSET 0 LIMIT 1","select  ?s    

{

   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/GMT_Games> .    

}",0,7,1,0,0,0
136,0.942857142857143,In which country does the Nile start?,"""in which country does Nile start?""",0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Nile dbo:sourceCountry ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Nile> <http://dbpedia.org/property/mouthLocation>  ?o .    

}",0,1,2,0,0,0
137,0,Who is the Formula 1 race driver with the most races?,,0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer> .  ?uri <http://dbpedia.org/ontology/races> ?x . } ORDER BY DESC(?x) OFFSET 0 LIMIT 1 ,,0,1,1,0,0,0
138,0.835820895522388,Which companies produce hovercrafts?,"""which ships produce Hovercraft?"" (wrong similarity)",0,3,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Hovercraft> . },"select  ?s    

{

   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Hovercraft> .    

}",0,3,1,0,0,0
140,0.897959183673469,In which city was the president of Montenegro born?,"""in which city did President of Montenegro born?""(sparql does not match)",0,1,5,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/office> <http://dbpedia.org/resource/President_of_Montenegro> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/City> . } ,"select  ?o    

{

    <http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    

}",0,1,5,0,0,0
142,0.765432098765432,In which countries do people speak Japanese?,"""in which countries does start Ganges?"" (similarity match problem)",0,1,5,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Japanese_language> . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation>  ?o .    

}",0,1,5,0,0,0
143,0,Show me the book that Muhammad Ali wrote.,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri rdf:type dbo:Book . 
         ?uri dbo:author res:Muhammad_Ali . 
}",,0,1,1,0,0,0
148,0.746268656716418,What was the first Queen album?,"""What was the first season of Batman?"" (similarity does not match)",0,1,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Album> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Queen_(band)> . ?uri <http://dbpedia.org/ontology/releaseDate> ?d . } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,"select  ?o    

{

    <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/seasonNumber>  ?o .    

}",0,1,1,0,0,0
