id,question,sparql,answer
20,┬┐Est├í James Bond casado?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}",[true]
21,┬┐Qui├®n descubri├│ Ceres?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },[<http://dbpedia.org/resource/Giuseppe_Piazzi>]
22,┬┐Por qu├® r├¡o cruza la Brooklyn Bridge?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}",[<http://dbpedia.org/resource/East_River>]
23,┬┐Qui├®n era llamado Frank The Tank?,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}",[<http://dbpedia.org/resource/Frank_Young_(basketball)>]
24,┬┐Cu├íl es el pa├¡s m├ís grande del mundo?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,[<http://dbpedia.org/resource/Organization_for_Security_and_Co-operation_in_Europe>]
25,┬┐Qui├®n es el alcalde de Par├¡s?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },[<http://dbpedia.org/resource/Anne_Hidalgo>]
26,┬┐Qui├®n es el entrenador del equipo de hockey sobre hielo de Ankara?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },[<http://dbpedia.org/resource/%C4%B0brahim_O%C4%9Fuz>]
27,┬┐Quien es el alcalde de la capital de la Polinesia Francesa?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}",[<http://dbpedia.org/resource/Michel_Buillard>]
28,┬┐Qu├® premios ha ganado Douglas Hofstadter?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}","[<http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences>, <http://dbpedia.org/resource/National_Book_Award>, <http://dbpedia.org/resource/Pulitzer_Prize>]"
29,┬┐Cu├ínto cuesta la pel├¡cula de Lego?,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } ,"[""6.0E7""^^<http://dbpedia.org/datatype/usDollar>]"
30,┬┐D├│nde empieza Piccadilly?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } ,[<http://dbpedia.org/resource/Dover_Street>]
31,┬┐Tienen el pr├¡ncipe Harry y el pr├¡nciple William la misma madre?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",[true]
32,┬┐Quien actu├│ como el agente Smith en Matrix?,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}","[<http://dbpedia.org/resource/Hugo_Weaving>, <http://dbpedia.org/resource/Ian_Bliss>]"
33,┬┐Cu├íntos idiomas se hablan en Turkmenist├ín?,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,[2]
34,┬┐En qu├® pel├¡culas act├║an Julia Roberts y Richard Gere?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,"[<http://dbpedia.org/resource/Runaway_Bride_(1999_film)>, <http://dbpedia.org/resource/The_Ant_Bully_(film)>, <http://dbpedia.org/resource/Valentine's_Day_(2010_film)>, <http://dbpedia.org/resource/Fireflies_in_the_Garden>, <http://dbpedia.org/resource/The_Pelican_Brief_(film)>, <http://dbpedia.org/resource/Mystic_Pizza>, <http://dbpedia.org/resource/Mirror_Mirror_(film)>, <http://dbpedia.org/resource/Hook_(film)>, <http://dbpedia.org/resource/I_Love_Trouble_(1994_film)>, <http://dbpedia.org/resource/Steel_Magnolias>, <http://dbpedia.org/resource/Notting_Hill_(film)>, <http://dbpedia.org/resource/Ocean's_Twelve>, <http://dbpedia.org/resource/Full_Frontal_(film)>, <http://dbpedia.org/resource/Pretty_Woman>, <http://dbpedia.org/resource/The_Normal_Heart_(film)>, <http://dbpedia.org/resource/Pr%C3%AAt-%C3%A0-Porter_(film)>, <http://dbpedia.org/resource/August:_Osage_County_(film)>, <http://dbpedia.org/resource/Closer_(2004_film)>, <http://dbpedia.org/resource/Erin_Brockovich_(film)>, <http://dbpedia.org/resource/Dying_Young>, <http://dbpedia.org/resource/Eat_Pray_Love>, <http://dbpedia.org/resource/My_Best_Friend's_Wedding>, <http://dbpedia.org/resource/Charlotte's_Web_(2006_film)>, <http://dbpedia.org/resource/Duplicity_(film)>, <http://dbpedia.org/resource/Stepmom_(film)>, <http://dbpedia.org/resource/Satisfaction_(film)>, <http://dbpedia.org/resource/Flatliners>, <http://dbpedia.org/resource/America's_Sweethearts>, <http://dbpedia.org/resource/Sleeping_with_the_Enemy>, <http://dbpedia.org/resource/Michael_Collins_(film)>, <http://dbpedia.org/resource/Larry_Crowne>, <http://dbpedia.org/resource/Confessions_of_a_Dangerous_Mind>, <http://dbpedia.org/resource/Charlie_Wilson's_War>, <http://dbpedia.org/resource/Something_to_Talk_About_(film)>, <http://dbpedia.org/resource/Mona_Lisa_Smile>, <http://dbpedia.org/resource/Ocean's_Eleven>, <http://dbpedia.org/resource/The_Mexican>, <http://dbpedia.org/resource/Mary_Reilly_(film)>, <http://dbpedia.org/resource/Conspiracy_Theory_(film)>]"
35,┬┐En qu├® pa├¡s nace el Ganges?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}",[<http://dbpedia.org/resource/India>]
36,┬┐En que a├▒o naci├│ Rachel Stevens?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } ,"[""1978""^^xsd:gYear]"
37,┬┐Es Barack Obama dem├│crata?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}",[true]
38,┬┐D├│nde naci├│ Bach?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}",[<http://dbpedia.org/resource/Eisenach>]
39,┬┐Cu├íntas veces ha estado casada Jane Fonda?,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ,[3]
40,┬┐Qui├®n fue el primero en ascender al Monte Everest?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}","[<http://dbpedia.org/resource/Edmund_Hillary>, <http://dbpedia.org/resource/Krzysztof_Wielicki>, <http://dbpedia.org/resource/Leszek_Cichy>, <http://dbpedia.org/resource/Tenzing_Norgay>]"
41,┬┐Cu├íntas personas viven en Polonia?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  ,"[""38186860""^^xsd:nonNegativeInteger]"
42,┬┐Donde est├ín situadas las Casas del Parlamento?,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"[<http://dbpedia.org/resource/City_of_Westminster>, <http://dbpedia.org/resource/England>, <http://dbpedia.org/resource/Greater_London>]"
43,┬┐Act├║a Christian Bale en Batman Begins?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}",[true]
44,┬┐En qu├® pa├¡s se encuentra el lago Limerick?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}",[<http://dbpedia.org/resource/Canada>]
45,┬┐Cu├íl fue la ├║ltima pel├¡cula con Alec Guinness?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ,[<http://dbpedia.org/resource/Kafka_(film)>]
46,┬┐Cu├íl es la monta├▒a m├ís alta de Australia?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1",[<http://dbpedia.org/resource/Mawson_Peak>]
47,┬┐Todav├¡a vive Frank Herbert?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }
        FILTER (!BOUND(?date))
}",[true]
48,┬┐Qui├®n cre├│ Family Guy?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  ,[<http://dbpedia.org/resource/Seth_MacFarlane>]
49,┬┐Cu├íl es la idioma oficial de Surinam?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Suriname dbo:officialLanguage ?uri .
}",[<http://dbpedia.org/resource/Dutch_language>]
50,┬┐Qui├®n escribi├│ la canci├│n Hotel California?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . },"[<http://dbpedia.org/resource/Don_Felder>, <http://dbpedia.org/resource/Don_Henley>, <http://dbpedia.org/resource/Glenn_Frey>]"
51,Dame todos los actores de pel├¡culas dirigidas por William Shatner.,SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } ,"[<http://dbpedia.org/resource/DeForest_Kelley>, <http://dbpedia.org/resource/George_Takei>, <http://dbpedia.org/resource/James_Doohan>, <http://dbpedia.org/resource/Leonard_Nimoy>, <http://dbpedia.org/resource/Nichelle_Nichols>, <http://dbpedia.org/resource/Walter_Koenig>, <http://dbpedia.org/resource/Dan_Martin_(actor)>, <http://dbpedia.org/resource/William_Shatner>, <http://dbpedia.org/resource/Tom_Towles>, <http://dbpedia.org/resource/Chuck_Williams_(actor)>, <http://dbpedia.org/resource/Amy_Acker>, <http://dbpedia.org/resource/Duane_Whitaker>, <http://dbpedia.org/resource/John_Prosky>, <http://dbpedia.org/resource/Dan_Gauthier>, <http://dbpedia.org/resource/J.T._Colosa>, <http://dbpedia.org/resource/Dick_Van_Patten>, <http://dbpedia.org/resource/Brenda_Bakke>, <http://dbpedia.org/resource/Rickey_Medlocke>]"
52,┬┐Qu├® contiene una galleta de chocolate?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . },"[<http://dbpedia.org/resource/Chocolate_chip>, <http://dbpedia.org/resource/Vanilla>, <http://dbpedia.org/resource/Sodium_bicarbonate>, <http://dbpedia.org/resource/Egg_(food)>, <http://dbpedia.org/resource/Brown_sugar>, <http://dbpedia.org/resource/Salt>, <http://dbpedia.org/resource/Butter>, <http://dbpedia.org/resource/Shortening>, <http://dbpedia.org/resource/Sugar>, <http://dbpedia.org/resource/Flour>]"
53,Dame todos las skateboarders profesionales de Suecia.,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}",[<http://dbpedia.org/resource/Ali_Boulala>]
54,┬┐Qu├® ingredientes son necesarios para una tarta de zanahorias?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } ,"[<http://dbpedia.org/resource/Allspice>, <http://dbpedia.org/resource/Carrot>, <http://dbpedia.org/resource/Cream_cheese>, <http://dbpedia.org/resource/Egg_(food)>, <http://dbpedia.org/resource/Flour>, <http://dbpedia.org/resource/Icing_(food)>, <http://dbpedia.org/resource/Marzipan>, <http://dbpedia.org/resource/Nutmeg>, <http://dbpedia.org/resource/Sugar>]"
55,┬┐juega Neymar en el Real Madrid?,ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . },[false]
56,┬┐Qu├® ingeniero inform├ítico gan├│ un Oscar?,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } ",[<http://dbpedia.org/resource/Edwin_Catmull>]
57,┬┐Cu├íntas compa├▒├¡as fueron fundadas en el mismo a├▒o que Google?,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } ,[0]
58,┬┐En qu├® ciudad del reino unido se encuentra el cuartel genetal del MI6?,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}",[<http://dbpedia.org/resource/London>]
59,┬┐Fu├® la crisis de cuba antes de la invasi├│n de bah├¡a de cochinos?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}",[true]
60,┬┐Qu├® abrevia IYCM?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:abbreviation 'IYCM' .
}",[<http://dbpedia.org/resource/Youth_Climate_Movement>]
61,┬┐Cu├índo se disolvi├│ la dinast├¡a de Ming?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE {  
        res:Ming_dynasty dbo:dissolutionDate ?date .
}","[""1644-04-25""^^xsd:date]"
