id,score,qald uestions,quegg questions,qald sparql,quegg sparql,qald answer,quegg answer
12,0.8,¿Quién pintó el Cristo en la tormenta en el lago de Galilea?,"""¿Qué pintar La tormenta en el mar de Galilea?""","PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist>  ?o .    
}",[[(http://dbpedia.org/resource/Rembrandt )]],[(http://dbpedia.org/resource/Rembrandt )]
13,0.722222222222222,¿Por qué ciudades pasa el río Weser?,"""¿Por qué ciudades abrevia The Tiger?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ,"select  ?s    
{
   ?s <http://dbpedia.org/ontology/abbreviation>  'The Tiger'@en    
}","[[(http://dbpedia.org/resource/Bremen ), (http://dbpedia.org/resource/Bremerhaven ), (http://dbpedia.org/resource/Fulda_(river) ), (http://dbpedia.org/resource/Hamelin ), (http://dbpedia.org/resource/Hann._M%C3%BCnden ), (http://dbpedia.org/resource/Kassel ), (http://dbpedia.org/resource/Minden )]]",[]
14,0,¿Cuántos asientos tiene el estadio del FC Porto?,,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,,"[[(""50035""^^http://www.w3.org/2001/XMLSchema#nonNegativeInteger)]]",[]
15,0,¿Con quién está casada la hija de Robert Kennedy?,,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,,[[(http://dbpedia.org/resource/Andrew_Cuomo )]],[]
16,0,¿Qué libros de Kerouac han sido publicados por Viking Press?,,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,,"[[(http://dbpedia.org/resource/Book_of_Haikus ), (http://dbpedia.org/resource/Orpheus_Emerged ), (http://dbpedia.org/resource/Old_Angel_Midnight ), (http://dbpedia.org/resource/Beat_Generation_(play) ), (http://dbpedia.org/resource/The_Subterraneans ), (http://dbpedia.org/resource/Atop_an_Underwood:_Early_Stories_and_Other_Writings ), (http://dbpedia.org/resource/The_Sea_is_My_Brother ), (http://dbpedia.org/resource/Good_Blonde_&_Others ), (http://dbpedia.org/resource/Scattered_Poems ), (http://dbpedia.org/resource/Tristessa ), (http://dbpedia.org/resource/Book_of_Dreams_(novel) ), (http://dbpedia.org/resource/Book_of_Sketches ), (http://dbpedia.org/resource/Lonesome_Traveler ), (http://dbpedia.org/resource/Door_Wide_Open ), (http://dbpedia.org/resource/The_Dharma_Bums ), (http://dbpedia.org/resource/On_the_Road ), (http://dbpedia.org/resource/Desolation_Angels_(novel) ), (http://dbpedia.org/resource/And_the_Hippos_Were_Boiled_in_Their_Tanks ), (http://dbpedia.org/resource/Visions_of_Gerard ), (http://dbpedia.org/resource/Visions_of_Cody ), (http://dbpedia.org/resource/Big_Sur_(novel) ), (http://dbpedia.org/resource/Doctor_Sax ), (http://dbpedia.org/resource/Maggie_Cassidy ), (http://dbpedia.org/resource/Satori_in_Paris ), (http://dbpedia.org/resource/The_Town_and_the_City ), (http://dbpedia.org/resource/Mexico_City_Blues ), (http://dbpedia.org/resource/Pic_(novel) ), (http://dbpedia.org/resource/Vanity_of_Duluoz ), (http://dbpedia.org/resource/References_in_On_the_Road )]]",[]
17,0.928571428571429,¿Cómo de alta es Amazon Eve?,"""¿Cómo in alta es Amazon Eve?""",SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height>  ?o .    
}","[[(""2.02""^^xsd:double )]]","[(""2.02""^^xsd:double )]"
18,0.717948717948718,¿En qué museo está expuesto el Grito de Munch?,"""¿En qué museos exhibit El grito?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum>  ?o .    
}",[[(http://dbpedia.org/resource/National_Gallery_(Norway) )]],[(http://dbpedia.org/resource/National_Gallery_(Norway) )]
19,0.863636363636364,¿Quen escribió el libro Los pilares de la Tierra?,"""¿Qué escribir Los pilares de la Tierra?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author>  ?o .    
}",[[(http://dbpedia.org/resource/Ken_Follett )]],[(http://dbpedia.org/resource/Ken_Follett )]
20,0,¿Está James Bond casado?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}",,[[(false)]],[]
21,0.909090909090909,¿Quién descubrió Ceres?,"""¿Qué descubrir Ceres?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer>  ?o .    
}",[[(http://dbpedia.org/resource/Giuseppe_Piazzi )]],[(http://dbpedia.org/resource/Giuseppe_Piazzi )]
22,0.717948717948718,¿Por qué río cruza la Brooklyn Bridge?,"""¿Por qué r�os cruzar Puente de Brooklyn?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses>  ?o .    
}",[[(http://dbpedia.org/resource/East_River )]],[(http://dbpedia.org/resource/East_River )]
23,0,¿Quién era llamado Frank The Tank?,,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}",,[[(http://dbpedia.org/resource/Frank_Young_(basketball) )]],[]
24,0.826666666666667,¿Cuál es el país más grande del mundo?,"""¿Cuál es estadio m�s grande de Mundo?""",SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium> . ?subjOfProp <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/World> . ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?num . 
} ORDER BY DESC(?num) LIMIT 1",[[(http://dbpedia.org/resource/Asia)]],[]
25,0.766666666666667,¿Quién es el alcalde de París?,"""¿Cuáles son alcaldes de París?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName>  ?o .    
}",[[(http://dbpedia.org/resource/Anne_Hidalgo )]],[]
26,0,¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?,,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },,[[(http://dbpedia.org/resource/%C4%B0brahim_O%C4%9Fuz )]],[]
27,0,¿Quien es el alcalde de la capital de la Polinesia Francesa?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}",,[[(http://dbpedia.org/resource/Michel_Buillard )]],[]
28,0.891566265060241,¿Qué premios ha ganado Douglas Hofstadter?,"""¿En qué premios ganar Douglas Hofstadter?""","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award>  ?o .    
}","[[(http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences ), (http://dbpedia.org/resource/National_Book_Award ), (http://dbpedia.org/resource/Pulitzer_Prize )]]","[(http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences ), (http://dbpedia.org/resource/National_Book_Award ), (http://dbpedia.org/resource/Pulitzer_Prize )]"
29,0,¿Cuánto cuesta la película de Lego?,,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } ,,"[[(""6.0E7""^^http://dbpedia.org/datatype/usDollar )]]",[]
30,0.941176470588235,¿Dónde empieza Piccadilly?,"""¿Dónde empez� Piccadilly?""",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } ,"select  ?s    
{
   ?s <http://dbpedia.org/ontology/routeStart>  <http://dbpedia.org/resource/Piccadilly> .    
}",[[(http://dbpedia.org/resource/Dover_Street )]],[(http://dbpedia.org/resource/Dover_Street )]
31,0,¿Tienen el príncipe Harry y el prínciple William la misma madre?,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",,[[(true)]],[]
32,0.773333333333333,¿Quien actuó como el agente Smith en Matrix?,"""¿Quién actu� como Agente Smith?""","PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer>  ?o .    
}","[[(http://dbpedia.org/resource/Hugo_Weaving ), (http://dbpedia.org/resource/Ian_Bliss )]]","[(http://dbpedia.org/resource/Hugo_Weaving ), (http://dbpedia.org/resource/Ian_Bliss )]"
33,0,¿Cuántos idiomas se hablan en Turkmenistán?,,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,,[[(2 )]],[]
34,0.760869565217391,¿En qué películas actúan Julia Roberts y Richard Gere?,"""¿En qué pel�cula actuado Richard Gere?""",SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,"select  ?s    
{
   ?s <http://dbpedia.org/ontology/starring>  <http://dbpedia.org/resource/Richard_Gere> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    
}","[[(http://dbpedia.org/resource/Runaway_Bride_(1999_film) ), (http://dbpedia.org/resource/The_Ant_Bully_(film) ), (http://dbpedia.org/resource/Valentine's_Day_(2010_film) ), (http://dbpedia.org/resource/Fireflies_in_the_Garden ), (http://dbpedia.org/resource/The_Pelican_Brief_(film) ), (http://dbpedia.org/resource/Mystic_Pizza ), (http://dbpedia.org/resource/Mirror_Mirror_(film) ), (http://dbpedia.org/resource/Hook_(film) ), (http://dbpedia.org/resource/I_Love_Trouble_(1994_film) ), (http://dbpedia.org/resource/Steel_Magnolias ), (http://dbpedia.org/resource/Notting_Hill_(film) ), (http://dbpedia.org/resource/Ocean's_Twelve ), (http://dbpedia.org/resource/Full_Frontal_(film) ), (http://dbpedia.org/resource/Pretty_Woman ), (http://dbpedia.org/resource/The_Normal_Heart_(film) ), (http://dbpedia.org/resource/Pr%C3%AAt-%C3%A0-Porter_(film) ), (http://dbpedia.org/resource/August:_Osage_County_(film) ), (http://dbpedia.org/resource/Closer_(2004_film) ), (http://dbpedia.org/resource/Erin_Brockovich_(film) ), (http://dbpedia.org/resource/Dying_Young ), (http://dbpedia.org/resource/Eat_Pray_Love ), (http://dbpedia.org/resource/My_Best_Friend's_Wedding ), (http://dbpedia.org/resource/Charlotte's_Web_(2006_film) ), (http://dbpedia.org/resource/Duplicity_(film) ), (http://dbpedia.org/resource/Stepmom_(film) ), (http://dbpedia.org/resource/Satisfaction_(film) ), (http://dbpedia.org/resource/Flatliners ), (http://dbpedia.org/resource/America's_Sweethearts ), (http://dbpedia.org/resource/Sleeping_with_the_Enemy ), (http://dbpedia.org/resource/Michael_Collins_(film) ), (http://dbpedia.org/resource/Larry_Crowne ), (http://dbpedia.org/resource/Confessions_of_a_Dangerous_Mind ), (http://dbpedia.org/resource/Charlie_Wilson's_War ), (http://dbpedia.org/resource/Something_to_Talk_About_(film) ), (http://dbpedia.org/resource/Mona_Lisa_Smile ), (http://dbpedia.org/resource/Ocean's_Eleven ), (http://dbpedia.org/resource/The_Mexican ), (http://dbpedia.org/resource/Mary_Reilly_(film) ), (http://dbpedia.org/resource/Conspiracy_Theory_(film) )]]","[(http://dbpedia.org/resource/Runaway_Bride_(1999_film) ), (http://dbpedia.org/resource/King_David_(film) ), (http://dbpedia.org/resource/Nights_in_Rodanthe ), (http://dbpedia.org/resource/Hachi:_A_Dog's_Tale ), (http://dbpedia.org/resource/No_Mercy_(film) ), (http://dbpedia.org/resource/Franny_(film) ), (http://dbpedia.org/resource/The_Mothman_Prophecies_(film) ), (http://dbpedia.org/resource/An_Officer_and_a_Gentleman ), (http://dbpedia.org/resource/Movie_43 ), (http://dbpedia.org/resource/Intersection_(1994_film) ), (http://dbpedia.org/resource/First_Knight ), (http://dbpedia.org/resource/Shall_We_Dance%3F_(2004_film) ), (http://dbpedia.org/resource/Power_(1986_film) ), (http://dbpedia.org/resource/Pretty_Woman ), (http://dbpedia.org/resource/Days_of_Heaven ), (http://dbpedia.org/resource/The_Cotton_Club_(film) ), (http://dbpedia.org/resource/Amelia_(film) ), (http://dbpedia.org/resource/The_Best_Exotic_Marigold_Hotel_2 ), (http://dbpedia.org/resource/I'm_Not_There ), (http://dbpedia.org/resource/Looking_for_Mr._Goodbar_(film) ), (http://dbpedia.org/resource/Mr._Jones_(film) ), (http://dbpedia.org/resource/Sommersby ), (http://dbpedia.org/resource/Yanks ), (http://dbpedia.org/resource/Brooklyn's_Finest ), (http://dbpedia.org/resource/The_Hunting_Party_(2007_film) ), (http://dbpedia.org/resource/Primal_Fear_(film) ), (http://dbpedia.org/resource/Autumn_in_New_York_(film) ), (http://dbpedia.org/resource/Unfaithful_(2002_film) ), (http://dbpedia.org/resource/Miles_from_Home ), (http://dbpedia.org/resource/Breathless_(1983_film) ), (http://dbpedia.org/resource/The_Honorary_Consul_(film) ), (http://dbpedia.org/resource/The_Double_(2011_film) ), (http://dbpedia.org/resource/Bloodbrothers_(1978_film) ), (http://dbpedia.org/resource/Bee_Season_(film) ), (http://dbpedia.org/resource/The_Flock_(film) ), (http://dbpedia.org/resource/Internal_Affairs_(film) ), (http://dbpedia.org/resource/Rhapsody_in_August ), (http://dbpedia.org/resource/The_Hoax ), (http://dbpedia.org/resource/Final_Analysis ), (http://dbpedia.org/resource/American_Gigolo ), (http://dbpedia.org/resource/Red_Corner )]"
35,0.8,¿En qué país nace el Ganges?,"""¿En qué actor nacer Ganges?""","PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}","select  ?s    
{
   ?s <http://dbpedia.org/ontology/birthPlace>  <http://dbpedia.org/resource/Ganges> .   ?s <http://dbpedia.org/ontology/occupation>  <http://dbpedia.org/resource/Actor> .    
}",[[(http://dbpedia.org/resource/India )]],[]
36,0.895522388059701,¿En que año nació Rachel Stevens?,"""¿En qué a�o nacido Rachel Stevens?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear>  ?o .    
}","[[(""1978""^^xsd:gYear )]]","[(""1978""^^xsd:gYear )]"
37,0,¿Es Barack Obama demócrata?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}",,[[(true)]],[]
38,0.833333333333333,¿Dónde nació Bach?,"""¿Dónde naci� Cher?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o .    
}",[[(http://dbpedia.org/resource/Eisenach )]],[(http://dbpedia.org/resource/El_Centro]
39,0.976190476190476,¿Cuántas veces ha estado casada Jane Fonda?,"""¿Cuántas veces ha estado casa Jane Fonda?""",SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    
{
    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?objOfProp .    
}",[[(3 )]],[(3 )]
40,0.903225806451613,¿Quién fue el primero en ascender al Monte Everest?,"""¿Qué primero en ascender al Monte Everest?""","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/firstAscentPerson>  ?o .    
}","[[(http://dbpedia.org/resource/Edmund_Hillary ), (http://dbpedia.org/resource/Krzysztof_Wielicki ), (http://dbpedia.org/resource/Leszek_Cichy ), (http://dbpedia.org/resource/Tenzing_Norgay )]]","[(http://dbpedia.org/resource/Edmund_Hillary ), (http://dbpedia.org/resource/Krzysztof_Wielicki ), (http://dbpedia.org/resource/Leszek_Cichy ), (http://dbpedia.org/resource/Tenzing_Norgay )]"
41,0.972222222222222,¿Cuántas personas viven en Polonia?,"""¿Cuántas   Personas viven en Polonia?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  ,"select  ?o    
{
    <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal>  ?o .    
}","[[(""38186860""^^xsd:nonNegativeInteger )]]","[(""38186860""^^xsd:nonNegativeInteger )]"
42,0,¿Donde están situadas las Casas del Parlamento?,,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,,"[[(http://dbpedia.org/resource/City_of_Westminster ), (http://dbpedia.org/resource/England ), (http://dbpedia.org/resource/Greater_London )]]",[]
43,0,¿Actúa Christian Bale en Batman Begins?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}",,[[(false)]],[]
44,0.75,¿En qué país se encuentra el lago Limerick?,"""¿En qué masculine se encuentra Limerick Lake?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    
}",[[(http://dbpedia.org/resource/Canada )]],[(http://dbpedia.org/resource/Canada )]
45,0,¿Cuál fue la última película con Alec Guinness?,,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ,,[[(http://dbpedia.org/resource/Kafka_(film))]],[]
46,0.853658536585366,¿Cuál es la montaña más alta de Australia?,"""¿Cuál es monta�as m�s alta in Australia?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 
} ORDER BY DESC(?num) LIMIT 1",[[(http://dbpedia.org/resource/Mount_Kaye)]],[]
